,Species,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,0.0,5.1,3.5,1.4,0.2
1,0.0,4.9,3.0,1.4,0.2
2,0.0,4.7,3.2,1.3,0.2
3,0.0,4.6,3.1,1.5,0.2
4,0.0,5.0,3.6,1.4,0.2
5,0.0,5.4,3.9,1.7,0.4
6,0.0,4.6,3.4,1.4,0.3
7,0.0,5.0,3.4,1.5,0.2
8,0.0,4.4,2.9,1.4,0.2
9,0.0,4.9,3.1,1.5,0.1
10,0.0,5.4,3.7,1.5,0.2
11,0.0,4.8,3.4,1.6,0.2
12,0.0,4.8,3.0,1.4,0.1
13,0.0,4.3,3.0,1.1,0.1
14,0.0,5.8,4.0,1.2,0.2
15,0.0,5.7,4.4,1.5,0.4
16,0.0,5.4,3.9,1.3,0.4
17,0.0,5.1,3.5,1.4,0.3
18,0.0,5.7,3.8,1.7,0.3
19,0.0,5.1,3.8,1.5,0.3
20,0.0,5.4,3.4,1.7,0.2
21,0.0,5.1,3.7,1.5,0.4
22,0.0,4.6,3.6,1.0,0.2
23,0.0,5.1,3.3,1.7,0.5
24,0.0,4.8,3.4,1.9,0.2
25,0.0,5.0,3.0,1.6,0.2
26,0.0,5.0,3.4,1.6,0.4
27,0.0,5.2,3.5,1.5,0.2
28,0.0,5.2,3.4,1.4,0.2
29,0.0,4.7,3.2,1.6,0.2
30,0.0,4.8,3.1,1.6,0.2
31,0.0,5.4,3.4,1.5,0.4
32,0.0,5.2,4.1,1.5,0.1
33,0.0,5.5,4.2,1.4,0.2
34,0.0,4.9,3.1,1.5,0.1
35,0.0,5.0,3.2,1.2,0.2
36,0.0,5.5,3.5,1.3,0.2
37,0.0,4.9,3.1,1.5,0.1
38,0.0,4.4,3.0,1.3,0.2
39,0.0,5.1,3.4,1.5,0.2
40,0.0,5.0,3.5,1.3,0.3
41,0.0,4.5,2.3,1.3,0.3
42,0.0,4.4,3.2,1.3,0.2
43,0.0,5.0,3.5,1.6,0.6
44,0.0,5.1,3.8,1.9,0.4
45,0.0,4.8,3.0,1.4,0.3
46,0.0,5.1,3.8,1.6,0.2
47,0.0,4.6,3.2,1.4,0.2
48,0.0,5.3,3.7,1.5,0.2
49,0.0,5.0,3.3,1.4,0.2
50,1.0,7.0,3.2,4.7,1.4
51,1.0,6.4,3.2,4.5,1.5
52,1.0,6.9,3.1,4.9,1.5
53,1.0,5.5,2.3,4.0,1.3
54,1.0,6.5,2.8,4.6,1.5
55,1.0,5.7,2.8,4.5,1.3
56,1.0,6.3,3.3,4.7,1.6
57,1.0,4.9,2.4,3.3,1.0
58,1.0,6.6,2.9,4.6,1.3
59,1.0,5.2,2.7,3.9,1.4
60,1.0,5.0,2.0,3.5,1.0
61,1.0,5.9,3.0,4.2,1.5
62,1.0,6.0,2.2,4.0,1.0
63,1.0,6.1,2.9,4.7,1.4
64,1.0,5.6,2.9,3.6,1.3
65,1.0,6.7,3.1,4.4,1.4
66,1.0,5.6,3.0,4.5,1.5
67,1.0,5.8,2.7,4.1,1.0
68,1.0,6.2,2.2,4.5,1.5
69,1.0,5.6,2.5,3.9,1.1
70,1.0,5.9,3.2,4.8,1.8
71,1.0,6.1,2.8,4.0,1.3
72,1.0,6.3,2.5,4.9,1.5
73,1.0,6.1,2.8,4.7,1.2
74,1.0,6.4,2.9,4.3,1.3
75,1.0,6.6,3.0,4.4,1.4
76,1.0,6.8,2.8,4.8,1.4
77,1.0,6.7,3.0,5.0,1.7
78,1.0,6.0,2.9,4.5,1.5
79,1.0,5.7,2.6,3.5,1.0
80,1.0,5.5,2.4,3.8,1.1
81,1.0,5.5,2.4,3.7,1.0
82,1.0,5.8,2.7,3.9,1.2
83,1.0,6.0,2.7,5.1,1.6
84,1.0,5.4,3.0,4.5,1.5
85,1.0,6.0,3.4,4.5,1.6
86,1.0,6.7,3.1,4.7,1.5
87,1.0,6.3,2.3,4.4,1.3
88,1.0,5.6,3.0,4.1,1.3
89,1.0,5.5,2.5,4.0,1.3
90,1.0,5.5,2.6,4.4,1.2
91,1.0,6.1,3.0,4.6,1.4
92,1.0,5.8,2.6,4.0,1.2
93,1.0,5.0,2.3,3.3,1.0
94,1.0,5.6,2.7,4.2,1.3
95,1.0,5.7,3.0,4.2,1.2
96,1.0,5.7,2.9,4.2,1.3
97,1.0,6.2,2.9,4.3,1.3
98,1.0,5.1,2.5,3.0,1.1
99,1.0,5.7,2.8,4.1,1.3
100,2.0,6.3,3.3,6.0,2.5
101,2.0,5.8,2.7,5.1,1.9
102,2.0,7.1,3.0,5.9,2.1
103,2.0,6.3,2.9,5.6,1.8
104,2.0,6.5,3.0,5.8,2.2
105,2.0,7.6,3.0,6.6,2.1
106,2.0,4.9,2.5,4.5,1.7
107,2.0,7.3,2.9,6.3,1.8
108,2.0,6.7,2.5,5.8,1.8
109,2.0,7.2,3.6,6.1,2.5
110,2.0,6.5,3.2,5.1,2.0
111,2.0,6.4,2.7,5.3,1.9
112,2.0,6.8,3.0,5.5,2.1
113,2.0,5.7,2.5,5.0,2.0
114,2.0,5.8,2.8,5.1,2.4
115,2.0,6.4,3.2,5.3,2.3
116,2.0,6.5,3.0,5.5,1.8
117,2.0,7.7,3.8,6.7,2.2
118,2.0,7.7,2.6,6.9,2.3
119,2.0,6.0,2.2,5.0,1.5
120,2.0,6.9,3.2,5.7,2.3
121,2.0,5.6,2.8,4.9,2.0
122,2.0,7.7,2.8,6.7,2.0
123,2.0,6.3,2.7,4.9,1.8
124,2.0,6.7,3.3,5.7,2.1
125,2.0,7.2,3.2,6.0,1.8
126,2.0,6.2,2.8,4.8,1.8
127,2.0,6.1,3.0,4.9,1.8
128,2.0,6.4,2.8,5.6,2.1
129,2.0,7.2,3.0,5.8,1.6
130,2.0,7.4,2.8,6.1,1.9
131,2.0,7.9,3.8,6.4,2.0
132,2.0,6.4,2.8,5.6,2.2
133,2.0,6.3,2.8,5.1,1.5
134,2.0,6.1,2.6,5.6,1.4
135,2.0,7.7,3.0,6.1,2.3
136,2.0,6.3,3.4,5.6,2.4
137,2.0,6.4,3.1,5.5,1.8
138,2.0,6.0,3.0,4.8,1.8
139,2.0,6.9,3.1,5.4,2.1
140,2.0,6.7,3.1,5.6,2.4
141,2.0,6.9,3.1,5.1,2.3
142,2.0,5.8,2.7,5.1,1.9
143,2.0,6.8,3.2,5.9,2.3
144,2.0,6.7,3.3,5.7,2.5
145,2.0,6.7,3.0,5.2,2.3
146,2.0,6.3,2.5,5.0,1.9
147,2.0,6.5,3.0,5.2,2.0
148,2.0,6.2,3.4,5.4,2.3
149,2.0,5.9,3.0,5.1,1.8
